"domeinnaamregistratie";"Officiële naam organisatie";"TOOi URI organisatie";"Registratiehouder";"Registrar";"Eerste registratiedatum";"Doel";"Einde registratie"
"albrandswaard.nl";"Gemeente Albrandswaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm0613";"Onbekend";"";"";"Onbekend";""
"zijpalm.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"stadspasalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"almereinzicht.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"alsiklatergrootbeninalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"daretodreamin036.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"raadvanalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"slavernijmonumentalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"werkenbijalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"mijnstembureau-almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"afvalalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"actiefinaltena.nl";"Gemeente Altena";"https://identifier.overheid.nl/tooi/id/gemeente/gm1959";"Onbekend";"";"";"Onbekend";""
"gemeentealtena.nl";"Gemeente Altena";"https://identifier.overheid.nl/tooi/id/gemeente/gm1959";"Onbekend";"";"";"Onbekend";""
"werkenbijgemeentealtena.nl";"Gemeente Altena";"https://identifier.overheid.nl/tooi/id/gemeente/gm1959";"Onbekend";"";"";"Onbekend";""
"duurzaamameland.nl";"Gemeente Ameland";"https://identifier.overheid.nl/tooi/id/gemeente/gm0060";"Onbekend";"";"";"Onbekend";""
"ameland.nl";"Gemeente Ameland";"https://identifier.overheid.nl/tooi/id/gemeente/gm0060";"Onbekend";"";"";"Onbekend";""
"bergen.nl";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"Realtime Register, Burgemeester Drijbersingel 51, 8021JB Zwolle, Netherlands";"18-11-1998";"E-mail";""
"bergen.eu";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"";"";"Doorverwijzing";""
"verduursamen2030.nl";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"Realtime Register, Burgemeester Drijbersingel 51, 8021JB Zwolle, Netherlands";"20-12-2017";"Hosting";""
"verduurzamen2030.nl";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"Realtime Register, Burgemeester Drijbersingel 51, 8021JB Zwolle, Netherlands";"20-11-2018";"Reservering";""
"bergenaandemaas.nl";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"Realtime Register, Burgemeester Drijbersingel 51, 8021JB Zwolle, Netherlands";"17-06-2005";"Doorverwijzing";""
"bergenlb.nl";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"Realtime Register, Burgemeester Drijbersingel 51, 8021JB Zwolle, Netherlands";"04-09-1998";"Doorverwijzing";""
"energielandschapbergen.nl";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"Realtime Register, Burgemeester Drijbersingel 51, 8021JB Zwolle, Netherlands";"20-12-2017";"Reservering";""
"energielandschapwellsmeer.eu";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"";"";"Reservering";""
"energielandschapwellsmeer.info";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"";"";"Doorverwijzing";""
"gemeente-maasduinen.nl";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"Realtime Register, Burgemeester Drijbersingel 51, 8021JB Zwolle, Netherlands";"29-12-2000";"Reservering";""
"gemeentemaasduinen.nl";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"Realtime Register, Burgemeester Drijbersingel 51, 8021JB Zwolle, Netherlands";"29-12-2000";"Reservering";""
"maasduinen.info";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"";"";"Reservering";""
"maasparkwell.eu";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"";"";"Reservering";""
"maasparkwell.nl";"Gemeente Bergen (L)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0893";"Gemeente Bergen (L)";"Realtime Register, Burgemeester Drijbersingel 51, 8021JB Zwolle, Netherlands";"14-01-2008";"Reservering";""
"borger-odoorn.nl";"Gemeente Borger-Odoorn";"https://identifier.overheid.nl/tooi/id/gemeente/gm1681";"Onbekend";"";"";"Onbekend";""
"actiefborgerodoorn.nl";"Gemeente Borger-Odoorn";"https://identifier.overheid.nl/tooi/id/gemeente/gm1681";"Onbekend";"";"";"Onbekend";""
"coevorden.eu";"Gemeente Coevorden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0109";"Onbekend";"";"";"Onbekend";""
"coevorden.org";"Gemeente Coevorden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0109";"Onbekend";"";"";"Onbekend";""
"opencoevorden.nl";"Gemeente Coevorden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0109";"Onbekend";"";"";"Onbekend";""
"afvalincoevorden.nl";"Gemeente Coevorden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0109";"Onbekend";"";"";"Onbekend";""
"raadcoevorden.nl";"Gemeente Coevorden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0109";"Onbekend";"";"";"Onbekend";""
"kansrijk-opgroeien.nl";"Gemeente Coevorden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0109";"Onbekend";"";"";"Onbekend";""
"inhuurdeskcoevorden.nl";"Gemeente Coevorden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0109";"Onbekend";"";"";"Onbekend";""
"cranendonck.nl";"Gemeente Cranendonck";"https://identifier.overheid.nl/tooi/id/gemeente/gm1706";"Gemeente Cranendonck";"";"";"E-mail";""
"dewolden.nl";"Gemeente De Wolden";"https://identifier.overheid.nl/tooi/id/gemeente/gm1690";"Gemeente De Wolden";"team.blue nl B.V., Vondellaan 47, 2332AA Leiden, Netherlands";"14-03-2000";"Hosting";""
"afentoe.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"allemaalhaags.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"beeldbankdenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"bibliotheekdenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"cjgdenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"comingoutweek.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"digitalemuurkrant.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"vraagjufmina.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"denhaagfietst.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"denhaaginsideout.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"denhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"denhaag.com";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"denhaagmantelzorg.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"haagsgemeentearchief.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"gogovouchers.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"nederlandsmuziekinstituut.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"haagsestadmakers.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"haagsevrouwendagen.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"hackthehague.com";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"hallowerk.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"hethaagsegroen.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"thehagueinternationalcentre.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"janvanzanen.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"jeugdhulpdenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"mijndenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"milieueducatiedenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"monumentenzorgdenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"move070.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"ooievaarspas.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"opkomstenuitslag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"schoolinbos.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"schoolsport070.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"schoondoenwegewoon.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"slimparkeren.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"socialekaartdenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"stadslandbouwdenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"stadstekenaardenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"stembureausindenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"studyinthehague.com";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"takethehague.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"veiligthuishaaglanden.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"verwijsindexhaaglanden.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"welstandsnotas.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"wijzerindewijk.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"rekenkamerdenhaag.nl";"Gemeente Den Haag";"https://identifier.overheid.nl/tooi/id/gemeente/gm0518";"Onbekend";"";"";"Onbekend";""
"eindhovenduurzaam.nl";"Gemeente Eindhoven";"https://identifier.overheid.nl/tooi/id/gemeente/gm0772";"Onbekend";"";"";"Onbekend";""
"eindhovensport.nl";"Gemeente Eindhoven";"https://identifier.overheid.nl/tooi/id/gemeente/gm0772";"Onbekend";"";"";"Onbekend";""
"eindhoven.nl";"Gemeente Eindhoven";"https://identifier.overheid.nl/tooi/id/gemeente/gm0772";"Onbekend";"";"";"Onbekend";""
"ondernemendeindhoven.nl";"Gemeente Eindhoven";"https://identifier.overheid.nl/tooi/id/gemeente/gm0772";"Onbekend";"";"";"Onbekend";""
"openeindhoven.nl";"Gemeente Eindhoven";"https://identifier.overheid.nl/tooi/id/gemeente/gm0772";"Onbekend";"";"";"Onbekend";""
"werkenvooreindhoven.nl";"Gemeente Eindhoven";"https://identifier.overheid.nl/tooi/id/gemeente/gm0772";"Onbekend";"";"";"Onbekend";""
"actiefinemmen.nl";"Gemeente Emmen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"Onbekend";"";"";"Onbekend";""
"angelslo-academy.nl";"Gemeente Emmen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"Onbekend";"";"";"Onbekend";""
"diepemmen.nl";"Gemeente Emmen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"Onbekend";"";"";"Onbekend";""
"emmengeeftenergie.nl";"Gemeente Emmen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"Onbekend";"";"";"Onbekend";""
"geldloketemmen.nl";"Gemeente Emmen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"Onbekend";"";"";"Onbekend";""
"gemeenteraademmen.nl";"Gemeente Emmen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"Onbekend";"";"";"Onbekend";""
"koningsdaginemmen.nl";"Gemeente Emmen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"Onbekend";"";"";"Onbekend";""
"mmmeter.nl";"Gemeente Emmen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"Onbekend";"";"";"Onbekend";""
"rensenparkemmen.nl";"Gemeente Emmen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"Onbekend";"";"";"Onbekend";""
"emmen.nl";"Gemeente Emmen";"https://identifier.overheid.nl/tooi/id/gemeente/gm0114";"Onbekend";"";"";"Onbekend";""
"enschede.nl";"Gemeente Enschede";"https://identifier.overheid.nl/tooi/id/gemeente/gm0153";"Onbekend";"";"";"Onbekend";""
"epespreekt.nl";"Gemeente Epe";"https://identifier.overheid.nl/tooi/id/gemeente/gm0232";"Onbekend";"";"";"Onbekend";""
"epe.nl";"Gemeente Epe";"https://identifier.overheid.nl/tooi/id/gemeente/gm0232";"Onbekend";"";"";"Onbekend";""
"etten-leur.nl";"Gemeente Etten-Leur";"https://identifier.overheid.nl/tooi/id/gemeente/gm0777";"Onbekend";"";"";"Onbekend";""
"etten-leurmakenwesamen.nl";"Gemeente Etten-Leur";"https://identifier.overheid.nl/tooi/id/gemeente/gm0777";"Onbekend";"";"";"Onbekend";""
"cjgetten-leur.nl";"Gemeente Etten-Leur";"https://identifier.overheid.nl/tooi/id/gemeente/gm0777";"Onbekend";"";"";"Onbekend";""
"doemeeinetten-leur.nl";"Gemeente Etten-Leur";"https://identifier.overheid.nl/tooi/id/gemeente/gm0777";"Onbekend";"";"";"Onbekend";""
"haansbergetten-leur.nl";"Gemeente Etten-Leur";"https://identifier.overheid.nl/tooi/id/gemeente/gm0777";"Onbekend";"";"";"Onbekend";""
"koepel-etten-leur.nl";"Gemeente Etten-Leur";"https://identifier.overheid.nl/tooi/id/gemeente/gm0777";"Onbekend";"";"";"Onbekend";""
"ondernemendetten-leur.nl";"Gemeente Etten-Leur";"https://identifier.overheid.nl/tooi/id/gemeente/gm0777";"Onbekend";"";"";"Onbekend";""
"trouweninetten-leur.nl";"Gemeente Etten-Leur";"https://identifier.overheid.nl/tooi/id/gemeente/gm0777";"Onbekend";"";"";"Onbekend";""
"vraagwijzeretten-leur.nl";"Gemeente Etten-Leur";"https://identifier.overheid.nl/tooi/id/gemeente/gm0777";"Onbekend";"";"";"Onbekend";""
"werkenbijetten-leur.nl";"Gemeente Etten-Leur";"https://identifier.overheid.nl/tooi/id/gemeente/gm0777";"Onbekend";"";"";"Onbekend";""
"gooisemeren.nl";"Gemeente Gooise Meren";"https://identifier.overheid.nl/tooi/id/gemeente/gm1942";"Onbekend";"";"";"Onbekend";""
"amsterdamairportcity.nl";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Hosting";""
"socialekaarthaarlemmermeer.nl";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"SDU UITGEVERS B.V.";"NAMESHIELD 79 RUE DESJARDINS 49100 ANGERS France";"";"Onbekend";""
"visithaarlemmermeer.nl";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Onbekend";""
"haarlemmermeer.nl";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"Gemeente Haarlemmermeer";"KPN Wilhelminakade 123 3072AP Rotterdam Netherlands";"28-06-1995";"E-mail";""
"werkenbijhaarlemmermeer.nl";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Onbekend";""
"participatieraadhaarlemmermeer.nl";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"Gemeente Haarlemmermeer";"Hostingindustries B.V. Velserstraat 80 2023EE Haarlem Netherlands";"";"Onbekend";""
"haarlemmermeergemeente.nl";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"team.blue nl B.V. Vondellaan 47 2332AA Leiden Netherlands";"";"Onbekend";""
"haarlemmermeerhuurtin.nl";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Onbekend";""
"zaaihaarlemmermeer.nl";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"Felixa";"team.blue nl B.V. Vondellaan 47 2332AA Leiden Netherlands";"";"Onbekend";""
"am-overleg.nl";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"AMSTELLAND-MEERLANDEN.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Onbekend";""
"AMSTELLAND-MEERLANDENOVERLEG.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"AMSTERDAMAIRPORTCITY.COM";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Onbekend";""
"BOSEILANDEN.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"CENTRUMJEUGDENGEZINHAARLEMMERMEER.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"CJGHAARLEMMERMEER.NET";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"WebReus Beemdstraat 14 5652AB EINDHOVEN Netherlands";"";"Reservering";""
"DEMENTIE-HAARLEMMERMEER.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"DEORGANISATIEKOERS.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"DISCOVERHAARLEMMERMEER.COM";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Doorverwijzing";""
"FUSIE-HSH.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"FUSIEHSH.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"GRAANVOORVISCHZUID.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermee";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"GROENEKAPSTOK.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"Logo4Life";"team.blue nl B.V. Vondellaan 47 2332AA Leiden Netherlands";"";"Hosting";""
"GROENERVIJFHUIZEN.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAALERMEERUIT.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAARLEMMERLIEDE-HAARLEMMERMEER.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAARLEMMERLIEDEHAARLEMMERMEER.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAARLEMMERMEER-HAARLEMMERLIEDE.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAARLEMMERMEER-SPAARNWOUDE.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAARLEMMERMEER.EU";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"KPN Wilhelminakade 123 3072AP Rotterdam Netherlands";"";"Doorverwijzing";""
"HAARLEMMERMEERAALSMEERDERBRUG.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAARLEMMERMEERABBENES.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAARLEMMERMEERATLAS.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAARLEMMERMEERBADHOEVEDORP.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAARLEMMERMEERBEINSDORP.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
"HAARLEMMERMEERBOESINGHELIEDE.NL";"Gemeente Haarlemmermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0394";"gemeente Haarlemmermeer";"Hostnet B.V. De Ruijterkade 6 1013AA Amsterdam Netherlands";"";"Reservering";""
